GSVIVT01000001001								
GSVIVT01000002001	PF00999	PTHR10110	KOG1965			AT3G05030.1	ATNHX2,NHX2	sodium hydrogen exchanger 2
GSVIVT01000334001								
GSVIVT01000336001	PF00171	PTHR11699	KOG2450	1.2.1.27	K00140	AT2G14170.1	ALDH6B2	aldehyde dehydrogenase  6B2
GSVIVT01000338001	PF00171	PTHR11699	KOG2451			AT2G14170.1	ALDH6B2	aldehyde dehydrogenase  6B2
GSVIVT01000339001								
GSVIVT01000343001								
GSVIVT01000345001		PTHR13140:SF36				AT1G17580.1	ATMYA1,MYA1,XI-1	myosin 1
GSVIVT01000347001								
GSVIVT01000349001						AT1G16120.1	WAKL1	wall associated kinase-like 1
GSVIVT01000350001		PTHR23258				AT1G69730.1		Wall-associated kinase family protein
GSVIVT01000351001						AT4G37840.1	HKL3	hexokinase-like 3
GSVIVT01000352001		PTHR23258				AT1G79680.1	ATWAKL10,WAKL10	WALL ASSOCIATED KINASE (WAK)-LIKE 10
GSVIVT01000354001		PTHR23258				AT1G69730.1		Wall-associated kinase family protein
GSVIVT01000357001		PTHR16012				AT5G02370.1		ATP binding microtubule motor family protein
GSVIVT01000358001						AT4G37840.1	HKL3	hexokinase-like 3
GSVIVT01000361001								
GSVIVT01000363001						AT3G03210.1		
GSVIVT01000364001	PF01535	PTHR10483				AT5G42310.1		Pentatricopeptide repeat (PPR-like) superfamily protein
GSVIVT01000371001						AT2G01690.1		ARM repeat superfamily protein
GSVIVT01000374001								
GSVIVT01000378001		PTHR12661				AT5G61770.2	PPAN	PETER PAN-like protein
GSVIVT01000380001	PF00036,PF08726	PTHR23050	KOG0027		K02183	AT2G27030.3	ACAM-2,CAM5	calmodulin 5
GSVIVT01000381001								
GSVIVT01000383001	PF00583	PTHR20531				AT1G18335.1		Acyl-CoA N-acyltransferases (NAT) superfamily protein
GSVIVT01000386001	PF04770					AT3G28920.1	AtHB34,HB34	homeobox protein 34
GSVIVT01000389001	PF00291	PTHR10314				AT1G48420.1	ACD1,ATACD1,D-CDES	D-cysteine desulfhydrase
GSVIVT01000391001	PF00282	PTHR11999	KOG1383	4.1.1.15	K01580	AT5G17330.1	GAD,GAD1	glutamate decarboxylase
GSVIVT01000394001						AT1G73470.1		
GSVIVT01000395001	PF00646					AT1G46984.1		F-box family protein
